user,day,label,logon_count,logon_offhours,logon_first_hour,logon_last_hour,device_connects,device_offhours,file_count,file_unique,file_offhours,file_exe,file_to_removable,file_ext_doc,file_ext_docx,file_ext_pdf,file_ext_zip,file_ext_jpg,file_ext_txt,file_ext_csv,email_count,email_external,email_attachments,email_attach_bytes,http_count,http_offhours,http_job_sites,http_leak_sites,http_malware_sites,http_cloud_upload,file_count_z,file_offhours_z,file_exe_z,file_to_removable_z,device_connects_z,device_offhours_z,logon_offhours_z,http_count_z,email_external_z,email_attach_bytes_z,logon_offhours_dt_z,device_offhours_dt_z,file_offhours_dt_z,file_count_dt_z,device_connects_dt_z,http_count_dt_z,o,c,e,a,n
BDV0168,2010-01-06,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,8.0,467908.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,31,19,21,31
TDS0984,2010-07-25,0,2,2,7,17,1.0,1.0,24.0,24.0,24.0,0.0,24.0,15.0,0.0,3.0,4.0,0.0,2.0,0.0,9.0,1.0,0.0,244537.0,95.0,95.0,0.0,0.0,0.0,0.0,1.4486301174667175,3.2408188759048486,-0.26276810069591844,1.4486301174667175,1.0298958718020128,3.678753409742857,2.135379124131899,0.0,-1.2671915890484506,-0.4023028357048008,0.18257368583642467,1.408005064955512,1.6616860344764763,1.6616860344764763,1.408005064955512,0.0,39,39,15,40,38
SGG0787,2010-07-01,0,2,0,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,6.0,422303.0,143.0,21.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8043051649812991,0.31558188370747203,0.0,0.0,0.0,0.0,0.0,0.0,14,27,10,20,31
MSZ0310,2010-10-08,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,18.0,343836.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3460734254554527,-1.9694863770321323,0.0,0.0,0.0,0.0,0.0,0.0,24,38,18,31,29
USH0199,2010-03-25,0,1,0,7,15,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,245872.0,95.0,0.0,0.0,0.0,0.0,0.0,0.6183567106255905,0.0,0.0,0.6183567106255905,1.0298958718020133,0.0,0.0,0.0,-0.1787621165193512,-0.48875084351397924,0.0,0.0,0.0,0.6183567106255905,1.0298958718020133,0.0,44,39,46,36,25
ESH0283,2010-09-01,0,1,0,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,274543.0,95.0,0.0,0.0,0.0,0.0,0.0,-0.641206224519679,0.0,0.0,-0.641206224519679,-0.6097487282376357,0.0,0.0,0.0,2.451310945049062,0.19786169205012208,0.0,0.0,0.0,-0.641206224519679,-0.6097487282376357,0.0,44,30,35,18,31
MLM0950,2010-08-24,0,2,0,7,16,2.0,0.0,8.0,8.0,0.0,0.0,8.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,20930.0,10.0,0.0,0.0,0.0,0.0,0.0,0.44727517286601237,-0.3755709529693017,-0.18257318584053256,0.44727517286601237,0.29394858145591424,-0.4154739670629109,-0.40015281109820966,0.0,0.8597748268750431,-0.6250570975201225,0.0,0.0,0.0,0.5210655962118115,0.29394858145591424,0.0,24,20,29,23,36
QPM0727,2010-09-15,0,1,0,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,403108.0,162.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008567652849786694,-0.6288190591064767,0.0,0.0,0.0,0.0,0.0,0.0,43,40,18,34,34
FBW0747,2010-09-18,0,1,1,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,497903.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294622389375446,0.0,-1.3458097570298193,1.0276442067657818,0.0,0.0,0.0,0.0,0.0,0.0,43,45,35,25,28
BAJ0654,2010-03-03,0,1,0,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,89400.0,29.0,7.0,1.0,0.0,0.0,0.0,-0.7816354330500576,-0.21409257384923194,-0.18257318584053253,-0.7816354330500576,-0.7624788469339894,-0.1825731858405326,-0.32772961934617106,0.0,0.09719174712757982,0.21970963805350827,-0.32772961934617106,-0.1825731858405326,-0.21409257384923194,-0.7816354330500576,-0.7624788469339894,0.0,36,10,47,10,41
SAP0867,2010-06-16,0,1,0,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,495997.0,162.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1727775312289432,1.606620861710354,0.0,0.0,0.0,0.0,0.0,0.0,13,25,43,19,30
XHW0498,2010-08-19,1,1,0,8,17,2.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,11.0,13.0,545893.0,164.0,0.0,20.0,0.0,0.0,0.0,1.4112878201743961,0.0,0.0,1.4112878201743961,0.169114007354758,0.0,0.0,0.25638076204532734,0.596504852451512,1.0881416658452128,0.0,0.0,0.0,1.4112878201743961,0.169114007354758,0.25638076204532734,37,47,48,23,35
SMW0084,2010-02-17,0,1,0,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,262463.0,95.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7416984850073131,-0.1949629123348828,0.0,0.0,0.0,0.0,0.0,0.0,20,37,39,48,27
NWK0215,2010-05-28,0,2,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,370295.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6708196432507753,0.0,-1.138458891529563,-0.5768705138144914,-0.49159483179472424,0.0,0.0,0.0,0.0,0.0,21,19,45,18,24
JPW0741,2010-07-28,0,1,0,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,449074.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289700939801487,0.3576960553383389,0.0,0.0,0.0,0.0,0.0,0.0,40,38,44,30,33
MCS0035,2010-07-02,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,379099.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6622246341132834,-0.6097040044343532,0.0,0.0,0.0,0.0,0.0,0.0,42,17,38,15,33
MAW0166,2010-05-27,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,409975.0,143.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9101041931292257,0.03813337986410498,0.0,0.0,0.0,0.0,0.0,0.0,44,16,21,17,34
COM0321,2010-02-09,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,429582.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899299156228456,-0.10551126245409227,0.0,0.0,0.0,0.0,0.0,0.0,38,18,34,18,27
JCG0316,2010-04-14,0,3,0,7,15,2.0,0.0,5.0,5.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,3.0,3.0,566173.0,162.0,0.0,0.0,0.0,0.0,0.0,-0.40815243966390236,0.0,-0.18257318584053256,-0.40815243966390236,0.2080468505877215,0.0,0.0,0.0,-0.7122948906295795,1.4254920939332631,0.0,0.0,0.0,-0.40815243966390236,0.2080468505877215,0.0,47,36,32,25,33
TJB0302,2010-01-29,0,1,0,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32585.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5816737650356671,0.41650970753037236,0.0,0.0,0.0,0.0,0.0,0.0,42,47,24,40,29
ERH0449,2010-08-12,0,1,0,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25857.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3904406743136621,-0.1333659079862126,0.0,0.0,0.0,0.0,0.0,0.0,44,15,35,17,25
VSA0230,2010-02-15,0,1,0,7,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,4.0,311907.0,95.0,4.0,0.0,0.0,0.0,3.0,-0.6299129009836288,0.0,0.0,-0.6299129009836288,-0.6594078845703253,0.0,0.0,0.0,0.6842813092125646,1.6660974410955114,0.0,0.0,0.0,-0.6299129009836288,-0.6594078845703253,0.0,47,15,25,14,29
JRG0207,2010-02-25,0,1,0,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,9.0,384489.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39002741266948276,-1.0182091130588808,0.0,0.0,0.0,0.0,0.0,0.0,42,37,40,21,27
LCB0664,2010-09-14,0,2,0,7,17,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,12.0,8.0,425348.0,135.0,0.0,5.0,0.0,0.0,15.0,-0.12984776941999537,0.0,0.0,-0.12984776941999537,0.5607643495695199,0.0,0.0,0.0,2.2848044913312684,0.12150135788161888,0.0,0.0,0.0,-0.12984776941999537,0.5607643495695199,0.0,16,19,36,24,32
MDH0580,2010-08-20,0,1,0,8,18,4.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,20191.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9550714100646491,0.0,0.0,0.9550714100646491,1.6342712054378108,0.0,0.0,0.0,-0.7480954746217072,-0.7302203906182564,0.0,0.0,0.0,0.9550714100646491,1.6342712054378108,0.0,41,37,18,40,31
BAM0636,2010-08-24,0,1,0,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,69734.0,29.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8339283519286125,-0.8035691474352683,0.0,0.0,0.0,0.0,0.0,0.0,13,40,46,42,39
SVS0871,2010-07-27,0,2,0,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,11.0,455950.0,162.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9116203415473236,0.3015943735149824,0.0,0.0,0.0,0.0,0.0,0.0,23,15,34,28,33
BHC0665,2010-09-08,0,1,0,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,6.0,257248.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9544466430716767,-0.6394466018624789,0.0,0.0,0.0,0.0,0.0,0.0,14,21,12,12,32
HCC0344,2010-07-20,0,1,0,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,111823.0,29.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03456715686116368,1.1916459479998989,0.0,0.0,0.0,0.0,0.0,0.0,25,11,41,26,22
ASV0946,2010-03-01,0,1,0,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21425.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6952203371568312,-0.6888744938153143,0.0,0.0,0.0,0.0,0.0,0.0,35,12,46,17,26
CBB0365,2010-02-18,0,3,1,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,342679.0,114.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1264898925232656,0.0,-0.6582803886044439,0.3589675413106394,-1.1264898925232656,0.0,0.0,0.0,0.0,0.0,37,17,20,41,33
SHR0334,2010-01-05,0,1,0,7,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,96643.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,41,45,19,31
